iso3c,year,population
AFG,2002,21487079
AFG,2003,22507368
AFG,2004,23499850
AFG,2005,24399948
AFG,2006,25183615
AFG,2007,25877544
AFG,2008,26528741
AFG,2009,27207291
AFG,2010,27962207
AFG,2011,28809167
AFG,2012,29726803
AFG,2013,30682500
AFG,2014,31627506
ALB,2002,3051010
ALB,2003,3039616
ALB,2004,3026939
ALB,2005,3011487
ALB,2006,2992547
ALB,2007,2970017
ALB,2008,2947314
ALB,2009,2927519
ALB,2010,2913021
ALB,2011,2904780
ALB,2012,2900247
ALB,2013,2896652
ALB,2014,2893654
DZA,2002,31990387
DZA,2003,32394886
DZA,2004,32817225
DZA,2005,33267887
DZA,2006,33749328
DZA,2007,34261971
DZA,2008,34811059
DZA,2009,35401790
DZA,2010,36036159
DZA,2011,36717132
DZA,2012,37439427
DZA,2013,38186135
DZA,2014,38934334
AGO,2002,16109696
AGO,2003,16691395
AGO,2004,17295500
AGO,2005,17912942
AGO,2006,18541467
AGO,2007,19183907
AGO,2008,19842251
AGO,2009,20520103
AGO,2010,21219954
AGO,2011,21942296
AGO,2012,22685632
AGO,2013,23448202
AGO,2014,24227524
ATG,2002,80030
ATG,2003,80904
ATG,2004,81718
ATG,2005,82565
ATG,2006,83467
ATG,2007,84397
ATG,2008,85350
ATG,2009,86300
ATG,2010,87233
ATG,2011,88152
ATG,2012,89069
ATG,2013,89985
ATG,2014,90900
ARG,2002,37889443
ARG,2003,38309475
ARG,2004,38728778
ARG,2005,39145491
ARG,2006,39558750
ARG,2007,39969903
ARG,2008,40381860
ARG,2009,40798641
ARG,2010,41222875
ARG,2011,41655616
ARG,2012,42095224
ARG,2013,42538304
ARG,2014,42980026
ARM,2002,3047249
ARM,2003,3036420
ARM,2004,3025982
ARM,2005,3014917
ARM,2006,3002161
ARM,2007,2988117
ARM,2008,2975029
ARM,2009,2966108
ARM,2010,2963496
ARM,2011,2967984
ARM,2012,2978339
ARM,2013,2992192
ARM,2014,3006154
ABW,2002,94995
ABW,2003,97015
ABW,2004,98742
ABW,2005,100031
ABW,2006,100830
ABW,2007,101218
ABW,2008,101342
ABW,2009,101416
ABW,2010,101597
ABW,2011,101936
ABW,2012,102393
ABW,2013,102921
ABW,2014,103441
